,id,timestamp,pair,amount0In,amount0Out,amount1In,amount1Out,amountUSD,to,sender,transaction,p_usd,side,flow,tx_id,tx_from
1848,0x18f307c36a2b882142ec0a328a65c9a68f5f51e699e539920db21f57d893f1f0-0,2023-04-21 03:04:35,WETH/DED,0.0495625,0.0,0.0,62481880.770847015,96.27666231173917,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1111111254eeb25477b68fb85ed929f73a960582,{'id': '0x18f307c36a2b882142ec0a328a65c9a68f5f51e699e539920db21f57d893f1f0'},1.5408733079728328e-06,buyer,-96.27666231173917,0x18f307c36a2b882142ec0a328a65c9a68f5f51e699e539920db21f57d893f1f0,0xE77c1b94a98915bB77aA5a9B2d2E8780EFFa8fA5
1849,0x71bc604888dd794fb05ed55c628b7aa4e3ca8cb22847982f53ffe250701fa902-0,2023-04-21 03:04:35,WETH/DED,1.8602749414887916,0.0,0.0,2415116429.804985,3664.665828054117,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0x71bc604888dd794fb05ed55c628b7aa4e3ca8cb22847982f53ffe250701fa902'},1.5173868153222037e-06,buyer,-3664.665828054117,0x71bc604888dd794fb05ed55c628b7aa4e3ca8cb22847982f53ffe250701fa902,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1850,0xa5737d9723bdfabab773a845f2962f0ec0dadd2ad9185f6dc556ecd6abca297c-0,2023-04-21 03:04:35,WETH/DED,0.0,1.8743635766809723,2415116429.804985,0.0,3598.8064517685857,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0xa5737d9723bdfabab773a845f2962f0ec0dadd2ad9185f6dc556ecd6abca297c'},1.4901171667567104e-06,seller,3598.8064517685857,0xa5737d9723bdfabab773a845f2962f0ec0dadd2ad9185f6dc556ecd6abca297c,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1851,0xa71965538adab2ee2af37c8c95d981a2af757dd9bb7f94f56ad8fc57b879ed2f-0,2023-04-21 03:04:35,WETH/DED,0.4,0.0,0.0,500860070.7060715,779.0722458402096,0x0987f58d04f3790bcd829de05c787dcbb70a5e49,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0xa71965538adab2ee2af37c8c95d981a2af757dd9bb7f94f56ad8fc57b879ed2f'},1.5554688652699693e-06,buyer,-779.0722458402096,0xa71965538adab2ee2af37c8c95d981a2af757dd9bb7f94f56ad8fc57b879ed2f,0x0987f58D04f3790bcD829DE05C787dCBB70a5E49
1852,0xfb8c9d7bff3ef35bbc49f1536f322ac4d1782917dc2dc3d13e7f44be50e52700-0,2023-04-21 03:04:47,WETH/DED,0.4,0.0,0.0,524007815.00127244,779.1260164391168,0x1d97cb879315be7d6a7dab5f687a53149f12eecd,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,{'id': '0xfb8c9d7bff3ef35bbc49f1536f322ac4d1782917dc2dc3d13e7f44be50e52700'},1.4868595355533484e-06,buyer,-779.1260164391168,0xfb8c9d7bff3ef35bbc49f1536f322ac4d1782917dc2dc3d13e7f44be50e52700,0x1D97CB879315be7d6A7DaB5f687A53149f12eEcd
1853,0x7a746a2a2dede401bfbce8b441ed6e703aa1edb73d0818983fb9383551dc0f4a-0,2023-04-21 03:05:35,WETH/DED,0.0997,0.0,0.0,129605187.68512522,193.7491395267773,0x555b6ee8fab3dfdbcca9121721c435fd4c7a1fd1,0x555b6ee8fab3dfdbcca9121721c435fd4c7a1fd1,{'id': '0x7a746a2a2dede401bfbce8b441ed6e703aa1edb73d0818983fb9383551dc0f4a'},1.494918089216377e-06,buyer,-193.7491395267773,0x7a746a2a2dede401bfbce8b441ed6e703aa1edb73d0818983fb9383551dc0f4a,0x068F4d4e3D30F850A5C13dFDaD74C13e679E908a
1854,0xc88bff88b4a09f21d75fda50c68a11e5285c2449230aa7af9def963857a19e78-0,2023-04-21 03:05:35,WETH/DED,0.5,0.0,0.0,644037999.1220566,974.6455381620398,0x0592d474e8ebf1995107755528c002ba9031c3a5,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,{'id': '0xc88bff88b4a09f21d75fda50c68a11e5285c2449230aa7af9def963857a19e78'},1.5133354545704797e-06,buyer,-974.6455381620398,0xc88bff88b4a09f21d75fda50c68a11e5285c2449230aa7af9def963857a19e78,0x0592d474e8EBf1995107755528C002bA9031C3a5
1855,0xbe3d2d7d7f3a98ec1f5fa3654626e9def6975a44a784a8e4089f42af9d73a5d5-1,2023-04-21 03:05:47,WETH/DED,2.58286932751863,0.0,0.0,3176606916.4983587,5114.251262886009,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0xbe3d2d7d7f3a98ec1f5fa3654626e9def6975a44a784a8e4089f42af9d73a5d5'},1.6099729671694967e-06,buyer,-5114.251262886009,0xbe3d2d7d7f3a98ec1f5fa3654626e9def6975a44a784a8e4089f42af9d73a5d5,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1856,0xf834372a187c661ea0f3a3b5a08f78c6e6d503344b7492bb7d243293f0e3296f-0,2023-04-21 03:05:47,WETH/DED,0.45,0.0,0.0,528955661.93099356,876.7062757339726,0x24fbc2b1ea2b7f2686239403a6478c5ab45f0ef3,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0xf834372a187c661ea0f3a3b5a08f78c6e6d503344b7492bb7d243293f0e3296f'},1.6574286633656373e-06,buyer,-876.7062757339726,0xf834372a187c661ea0f3a3b5a08f78c6e6d503344b7492bb7d243293f0e3296f,0x24fbC2b1ea2B7F2686239403a6478C5ab45F0ef3
1857,0xf9c6424c596d3ed42553b55f5eaf645b89e136845513d93f7349c0971828f3db-1,2023-04-21 03:05:47,WETH/DED,0.0,2.6013486777127404,3176606916.4983587,0.0,4969.9623630206,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0xf9c6424c596d3ed42553b55f5eaf645b89e136845513d93f7349c0971828f3db'},1.5645506333213852e-06,seller,4969.9623630206,0xf9c6424c596d3ed42553b55f5eaf645b89e136845513d93f7349c0971828f3db,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1858,0x28e28208b6b0a7a099b8d48e56db9a833a39c907eea2fcbdef0ed9bc78efff39-0,2023-04-21 03:06:11,WETH/DED,0.51,0.0,0.0,626105955.8809502,994.0539416637151,0xcdfc8f3377bbf5c912d2b031b1691d91fec9ff32,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0x28e28208b6b0a7a099b8d48e56db9a833a39c907eea2fcbdef0ed9bc78efff39'},1.5876768657551753e-06,buyer,-994.0539416637151,0x28e28208b6b0a7a099b8d48e56db9a833a39c907eea2fcbdef0ed9bc78efff39,0xcdfc8F3377bBf5c912D2b031b1691D91Fec9fF32
1859,0x2964bbad7130b7906f44c55f3592159861641e1379df4b844b096fc4cfa57fc8-0,2023-04-21 03:06:11,WETH/DED,0.005,0.0,0.0,6091175.807967298,9.708857767175301,0x44869eeac5821b8e68f8baaddd18fc24897d98be,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0x2964bbad7130b7906f44c55f3592159861641e1379df4b844b096fc4cfa57fc8'},1.5939217768884708e-06,buyer,-9.708857767175301,0x2964bbad7130b7906f44c55f3592159861641e1379df4b844b096fc4cfa57fc8,0x44869eEAc5821b8E68F8BAaddD18fC24897d98Be
1860,0x572412a00172adfec0c8a22dd7fed8af80460b282c326665d57971062695e941-0,2023-04-21 03:06:11,WETH/DED,0.1,0.0,0.0,121633681.16415614,194.314421775522,0x968a6bdfa483e253476291fbff489b343f5a8df1,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0x572412a00172adfec0c8a22dd7fed8af80460b282c326665d57971062695e941'},1.5975379509666926e-06,buyer,-194.314421775522,0x572412a00172adfec0c8a22dd7fed8af80460b282c326665d57971062695e941,0x968a6BdFa483e253476291fBfF489B343F5A8dF1
1861,0x5f80a446ce36a43a39126da020347536bd09940866073978b9b4481abb08ca25-0,2023-04-21 03:06:11,WETH/DED,1.233508298104242,0.0,0.0,1554698692.5287094,2417.6755004394277,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0x5f80a446ce36a43a39126da020347536bd09940866073978b9b4481abb08ca25'},1.555076563746954e-06,buyer,-2417.6755004394277,0x5f80a446ce36a43a39126da020347536bd09940866073978b9b4481abb08ca25,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
